717,5174,3978
443317,6718,5176,3981
443318,6718,5175,3977
443319,6717,5174,3973
443320,6722,5176,3973
443321,6719,5176,3973
443322,6717,5172,3985
443323,6716,5176,3725
443324,6716,5167,3983
443325,6720,5177,3974
443326,6726,5172,3979
443327,6719,5169,3975
443328,6721,5175,3974
443329,6720,5175,3971
443330,6723,5172,3969
443331,6720,5175,3976
443332,6720,5174,3982
443333,6719,5173,3983
443334,6718,5179,3974
443335,6722,5169,3973
443336,6718,5176,3975
443337,6721,5174,3975
443338,6721,5170,3978
443339,6719,5177,3980
443340,6713,5174,3979
443341,6717,5167,3974
443342,6718,5174,3974
443343,6721,5195,4115
443344,6719,5173,3964
443345,6717,5176,3977
443346,6715,5174,3969
443347,6720,5174,3972
443348,6719,5176,3978
443349,6720,5173,3972
443350,6718,5173,3973
443351,6718,5176,3977
443352,6716,5168,3977
443353,6718,5176,3978
443354,6718,5174,3971
443355,6716,5173,3976
443356,6718,5174,3983
443357,6717,5176,3978
443358,6720,5177,3982
443359,6723,5172,3983
443360,6720,5174,3970
443361,6718,5174,3975
443362,6718,5176,3973
443363,6716,5167,3881
443364,6718,5174,4000
443365,6721,5176,3975
443366,6717,5168,3975
443367,6720,5181,3980
443368,6720,5175,3979
443369,6719,5175,3977
443370,6720,5174,3980
443371,6721,5174,3978
443372,6714,5174,3974
443373,6720,5176,3979
443374,6722,5177,3970
443375,6723,5176,3975
443376,6718,5174,3970
443377,6720,5169,3964
443378,6719,5177,3975
443379,6721,5175,3979
443380,6718,5167,3975
443381,6715,5178,3976
443382,6720,5175,3978
443383,6724,5186,4032
443384,6719,5175,3992
443385,6718,5174,3969
443386,6723,5177,3976
443387,6719,5177,3979
443388,6721,5173,3976
443389,6721,5176,3975
443390,6721,5176,3984
443391,6721,5167,3971
443392,6718,5175,3973
443393,6722,5174,3978
443394,6718,5179,3983
443395,6725,5171,3973
443396,6719,5178,3976
443397,6719,5177,3974
443398,6719,5175,3975
443399,6720,5178,3971
443400,6720,5174,3971
443401,6718,5175,3976
443402,6720,5172,3969
443403,6720,5161,3787
