720,5165,3971
637723,1819,5171,3978
637724,1817,5169,3978
637725,1839,5180,3978
637726,1819,5184,3974
637727,1817,5176,3978
637728,1819,5170,3982
637729,1828,5165,3977
637730,1815,5173,3976
637731,1819,5174,3966
637732,1819,5167,3970
637733,1837,5184,3978
637734,1819,5170,3977
637735,1815,5171,3985
637736,1846,5170,3981
637737,1817,5159,3977
637738,1824,5177,3981
637739,1817,5170,3976
637740,1818,5170,3978
637741,1820,5158,3977
637742,1818,5173,3980
637743,1813,5171,3979
637744,1818,5176,3977
637745,1815,5174,3975
637746,1816,5164,3982
637747,1825,5179,3976
637748,1820,5171,3978
637749,1820,5171,3972
637750,1812,5188,3980
637751,1815,5183,3981
637752,1811,5173,3975
637753,1816,5175,3977
637754,1813,5167,3969
637755,1823,5170,3981
637756,1819,5170,3979
637757,1806,5165,3981
637758,1822,5176,3978
637759,1822,5171,3976
637760,1821,5182,3975
637761,1814,5161,3974
637762,1830,5174,3978
637763,1816,5176,3980
637764,1809,5152,3978
637765,1818,5168,3976
637766,1816,5161,3973
637767,1816,5169,3980
637768,1816,5172,3978
637769,1819,5171,3976
637770,1816,5172,3975
637771,1825,5169,3985
637772,1818,5174,3982
637773,1818,5171,3978
637774,1825,5168,3975
637775,1825,5169,3975
637776,1818,5172,3975
637777,1813,5171,3982
637778,1844,5170,3977
637779,1817,5169,3971
637780,1816,5172,3976
637781,1825,5173,3970
637782,1821,5167,3984
637783,1814,5170,3978
637784,1819,5177,3976
637785,1809,5173,3974
637786,1817,5172,3976
637787,1817,5173,3978
637788,1817,5169,3978
637789,1822,5173,3980
637790,1823,5175,3971
637791,1818,5172,3974
637792,1821,5177,3979
637793,1818,5172,3978
637794,1813,5170,3983
637795,1820,5171,3976
637796,1816,5172,3991
637797,1822,5172,3982
637798,1829,5180,3980
637799,1817,5172,3984
637800,1818,5177,3980
637801,1818,5172,3975
637802,1820,5175,3976
637803,1816,5180,3975
637804,1820,5176,3978
637805,1815,5172,3979
637806,1823,5164,3978
637807,1817,5169,3979
